placavehiculo,cilindraje,modelovehiculo,clasedevehiculo,tipodeservicio,numeromotorvehiculo,numerochasis,capacidadpasajeros,numerofacturadeventa,tipodecombustible,estado
LKP74,125,2008,MOTOCICLETA,PARTICULAR,5GP032562,9FK5GP11R82032562,1,0,GASOLINA,ACTIVO
ZGV89A,100,2005,MOTOCICLETA,PARTICULAR,B116E-212874,9FKKB006241212874,1,364,GASOLINA,ACTIVO
MDO702,1300,1993,AUTOMOVIL,PARTICULAR,M862768,412393,4,9391,GASOLINA,ACTIVO
WIB21A,125,2007,MOTOCICLETA,PARTICULAR,156FM171003553,LF3YCJ3A37U000079,1,349,GASOLINA,ACTIVO
HHM465,1598,2016,AUTOMOVIL,PARTICULAR,F710Q182336,9FBBSRADDGM787176,5,0,GASOLINA,ACTIVO
WIF97A,125,2009,MOTOCICLETA,PARTICULAR,22P1002585,9FK5YY11X92002585,1,54,GASOLINA,ACTIVO
WIP98A,113,2012,MOTOCICLETA,PARTICULAR,E3H4E024514,9FKKE1370C2024514,1,1305,GASOLINA,ACTIVO
WIG19A,135,2009,MOTOCICLETA,PARTICULAR,JNGBRB36491,MD2JNB1Z99VB02067,1,284,GASOLINA,ACTIVO
WIW52A,99,2013,MOTOCICLETA,PARTICULAR,DF5AC1093340,MD625MF58C1A10323,1,50,GASOLINA,ACTIVO
BMP609,1000,2003,AUTOMOVIL,PARTICULAR,K10A314666,9GAEHA62S3B701922,5,661,GASOLINA,ACTIVO
FSN21,110,2003,MOTOCICLETA,PARTICULAR,4ST492155,9FKKE048221492155,2,2667,GASOLINA,ACTIVO
ABO323,1149,2011,AUTOMOVIL,PARTICULAR,C708Q043882,9FBC06V05BL043640,4,,GASOLINA,ACTIVO
BKX555,1400,2006,AUTOMOVIL,PARTICULAR,E70010280,8LAXF11JX60019825,5,0,GASOLINA,ACTIVO
ZIM23C,124,2014,MOTOCICLETA,PARTICULAR,JEZWCG64632,9FLA37CZ2EAA00101,1,,GASOLINA,ACTIVO
DTJ54D,124,2015,MOTOCICLETA,PARTICULAR,157FMIME071338,9F2B11253FE208215,1,4677,GASOLINA,ACTIVO
TJY092,2476,2013,CAMIONETA,PUBLICO,D4BHC040047,KMJWA37HADU526280,8,6070,ACPM,ACTIVO
TJY185,5123,2015,BUS,PUBLICO,J05ETY10506,9F3FC9JLTFXX10197,41,23383,ACPM,ACTIVO
MSU279,2982,2015,CAMPERO,PARTICULAR,1KD2460320,JTEBH3FJXF5086475,7,5602742,GASOLINA,ACTIVO
WGR48D,99.27,2016,MOTOCICLETA,PARTICULAR,DUZWFM37810,9FLA18AZ2GDH04394,1,20551,GASOLINA,ACTIVO
TRC137,3600,1998,MICRO BUS,PUBLICO,1596769,V11856958,19,5040,ACPM,ACTIVO
EPB385,3000,2006,CAMIONETA,PARTICULAR,311182,8LBETF1F160002318,5,0,GASOLINA,ACTIVO
WIL09A,125,2010,MOTOCICLETA,PARTICULAR,SDH1P52QMI-B*A3500132*,9FMTCJN28AF001006,1,,GASOLINA,ACTIVO
QFR052,1600,2009,AUTOMOVIL,PARTICULAR,P743Q098515,9FBBB1R0D9M014035,5,0,GASOLINA,ACTIVO
WLA947,7500,1991,TRACTOCAMION,PUBLICO,30328477,CHA01304,2,334846,ACPM,ACTIVO
QHH401,1400,2006,AUTOMOVIL,PARTICULAR,2H0014743,9GASJ08J96B029605,5,4760,GASOLINA,ACTIVO
WIB67A,125,2008,MOTOCICLETA,PARTICULAR,157FM1FJ146922,LLCJPP2068E008116,1,1111102863,ACPM,ACTIVO
DTK47D,178.6,2015,MOTOCICLETA,PARTICULAR,DJZCED27384,9FLA12DZ0FAK56078,1,17766,GASOLINA,ACTIVO
PER807,2200,2002,CAMIONETA,PARTICULAR,F2217461,9FJFC832020000134,5,1657,GASOLINA,ACTIVO
AUY550,1498,2011,AUTOMOVIL,PARTICULAR,F15S33519421,9GATD51Y0BB016915,5,0,GASOLINA,ACTIVO
ABO342,1200,2011,CAMIONETA,PARTICULAR,LAQ*8A92710221*,LZWACAGA4B4003976,7,4584,GASOLINA,ACTIVO
